id,authors,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
1,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",4.34,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg
3,Stephenie Meyer,"Twilight (Twilight, #1)",3.57,456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,Harper Lee,To Kill a Mockingbird,4.25,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,F. Scott Fitzgerald,The Great Gatsby,3.89,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,John Green,The Fault in Our Stars,4.26,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,J.R.R. Tolkien,The Hobbit,4.25,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,J.D. Salinger,The Catcher in the Rye,3.79,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",3.85,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg
10,Jane Austen,Pride and Prejudice,4.24,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,Khaled Hosseini,The Kite Runner,4.26,34288,59980,226062,628174,929591,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,Veronica Roth,"Divergent (Divergent, #1)",4.24,36315,82870,310297,673028,1114304,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,"George Orwell, Erich Fromm, Celâl Üster",1984,4.14,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,George Orwell,Animal Farm,3.87,66854,135147,433432,698642,648912,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,4.1,45225,91270,355756,656870,875372,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",4.11,54835,86051,285413,667485,836050,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,Suzanne Collins,"Catching Fire (The Hunger Games, #2)",4.3,10492,48030,262010,687238,980309,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,6716,20413,166129,509447,1266670,https://images.gr-assets.com/books/1499277281m/5.jpg
19,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,38031,55862,202332,493922,1042394,https://images.gr-assets.com/books/1298411339m/34.jpg
20,Suzanne Collins,"Mockingjay (The Hunger Games, #3)",4.03,30144,110498,373060,618271,738775,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg
22,Alice Sebold,The Lovely Bones,3.77,62777,131188,404699,583575,479323,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,8253,42251,242345,548266,1065084,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg
25,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",3.79,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg
27,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg
28,William Golding,Lord of the Flies,3.64,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,"William Shakespeare, Robert           Jackson",Romeo and Juliet,3.73,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,Gillian Flynn,Gone Girl,4.03,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,Kathryn Stockett,The Help,4.45,10235,25117,134887,490754,942552,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,John Steinbeck,Of Mice and Men,3.84,46630,110856,355169,532291,473795,https://images.gr-assets.com/books/1437235233m/890.jpg
33,Arthur Golden,Memoirs of a Geisha,4.08,23500,59033,258700,517157,559782,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,"Paulo Coelho, Alan R. Clarke",The Alchemist,3.82,74846,123614,289143,412180,504212,https://images.gr-assets.com/books/1483412266m/865.jpg
36,Lois Lowry,"The Giver (The Giver, #1)",4.12,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,19309,55542,262038,513366,734629,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,Audrey Niffenegger,The Time Traveler's Wife,3.95,44339,85429,257805,427210,493884,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,19988,28983,114092,404583,874574,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,Elizabeth Gilbert,"Eat, Pray, Love",3.51,100373,149549,310212,332191,314272,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,18303,48294,219638,435514,689365,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,Louisa May Alcott,"Little Women (Little Women, #1)",4.04,31645,70011,250794,426280,535563,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,"Charlotte Brontë, Michael Mason",Jane Eyre,4.1,35132,64274,212294,400214,574221,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,Nicholas Sparks,"The Notebook (The Notebook, #1)",4.06,41395,63432,176469,298259,497194,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,Yann Martel,Life of Pi,3.88,39768,74331,218702,384164,360466,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,Sara Gruen,Water for Elephants,4.07,16705,49832,200154,417328,424820,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,Markus Zusak,The Book Thief,4.36,17892,35360,135272,377218,722056,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,Ray Bradbury,Fahrenheit 451,3.97,28366,64289,238242,426292,419051,https://images.gr-assets.com/books/1351643740m/4381.jpg
