,id,authors,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
0,1,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",4.34,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg
1,2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg
2,3,Stephenie Meyer,"Twilight (Twilight, #1)",3.57,456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg
3,4,Harper Lee,To Kill a Mockingbird,4.25,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg
4,5,F. Scott Fitzgerald,The Great Gatsby,3.89,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg
5,6,John Green,The Fault in Our Stars,4.26,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg
6,7,J.R.R. Tolkien,The Hobbit,4.25,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg
7,8,J.D. Salinger,The Catcher in the Rye,3.79,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg
8,9,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",3.85,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg
9,10,Jane Austen,Pride and Prejudice,4.24,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg
10,11,Khaled Hosseini,The Kite Runner,4.26,34288,59980,226062,628174,929591,https://images.gr-assets.com/books/1484565687m/77203.jpg
11,12,Veronica Roth,"Divergent (Divergent, #1)",4.24,36315,82870,310297,673028,1114304,https://images.gr-assets.com/books/1328559506m/13335037.jpg
12,13,"George Orwell, Erich Fromm, Celâl Üster",1984,4.14,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg
